	sec	p0	p1	p2	mag	label	card	type
13	3344524248.05	643548.4277	1756177.4503	65.918	1.49	170	36	foreground
14	3344510437.41	656136.6788	1745915.174	10450.0	1.86	170	36	foreground
15	3344476787.29	643309.7033	1753584.5426	1691.406	1.97	170	36	foreground
16	3344476604.19	644431.5218	1753454.7551	2647.217	2.16	170	36	foreground
17	3344473482.09	644582.1579999999	1755523.3282	2284.6679999999997	1.7	170	36	foreground
18	3344463271.02	648227.0587	1754611.9505	2614.258	2.31	170	36	foreground
19	3344455867.37	642019.1604	1754181.8891	3075.684	1.79	170	36	foreground
20	3344448612.4	648038.1355	1755327.354	329.59	1.87	170	36	foreground
21	3344448152.39	643813.9148	1755021.5975	1713.8670000000002	2.33	170	36	foreground
23	3344444725.71	649774.5219	1758416.7355	3849.6090000000004	1.95	170	36	foreground
24	3344444698.88	643977.9086	1755215.7230000002	2976.8070000000002	2.43	170	36	foreground
25	3344444605.05	644971.793	1755002.2757	2010.4979999999998	2.0	170	36	foreground
26	3344443929.54	644254.9988	1755024.7619999999	4196.289000000001	2.03	170	36	foreground
27	3344443338.81	648577.0816	1754476.6226	3131.1040000000003	2.29	170	36	foreground
28	3344443000.93	644072.9296	1755977.2309	3280.0	2.35	170	36	foreground
29	3344442735.2	645041.2309	1752990.4404	329.59	1.69	170	36	foreground
30	3344442481.51	648065.6187	1751468.2256	8767.09	2.32	170	36	foreground
31	3344442330.29	644298.3995	1754087.7772	3339.355	1.6	170	36	foreground
32	3344442182.01	647557.1431	1753201.3449	5372.314	2.1	170	36	foreground
33	3344442076.56	646074.2422	1755010.2028	2713.135	1.9	170	36	foreground
34	3344440542.36	647084.9969	1754989.8108	3734.863	1.88	170	36	foreground
35	3344440340.99	644786.3962	1755221.4812	8470.459	3.1	170	36	foreground
36	3344440307.0	643808.7964	1758188.4121	14010.0	2.68	170	36	foreground
37	3344440140.82	645828.0167	1753464.6679	7218.018	4.25	170	36	mainshock
38	3344436172.91	649624.9913	1757879.7639	3322.2659999999996	2.09	170	36	foreground
40	3344434871.43	643680.1455	1755993.0767	2390.0	2.07	170	36	foreground
42	3344423960.8	645701.2802	1755779.3012	1614.99	2.34	170	36	foreground
43	3344423415.21	645760.5112	1755200.9046	4394.043	1.99	170	36	foreground
44	3344422185.84	644270.791	1755383.2391	2735.5959999999995	2.54	170	36	foreground
45	3344422067.79	646466.7235	1756666.9034	13875.732	3.19	170	36	foreground
46	3344414937.36	645215.9467	1754259.7726	5537.109	1.6	170	36	foreground
47	3344413957.91	643185.3162	1758018.4501	3010.0	1.31	170	36	foreground
48	3344411632.91	653318.1946	1751891.5912	1582.031	1.32	170	36	foreground
49	3344370153.05	651153.0813	1749870.35	15292.969	1.94	170	36	foreground
50	3344352541.91	653366.7305	1742491.4539	10513.916000000001	2.88	170	36	foreground
51	3344352396.97	653037.4555	1742268.5926	12030.028999999999	2.61	170	36	foreground
